id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;realm;biome;ecoregion;country;region;continent;annualp;pseason;mairtemp;gslength;npp;nit_gkg;soc_gkg;ph;bd_gcm3;biome2
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p19;NA;p19;51.116112;3.242863;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;19;31.745;2.738765093704612;796.903057;14;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p2;NA;p2;51.122716;3.222979;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;15;26.86;2.371596595210507;819.3504458;13;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.7;14.1;10.650000000000034;365;1245;2.84;38;5.7;12.8;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p20;NA;p20;51.116262;3.244078;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;22;34.8;3.2301699334981326;1244.2029638;18;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p21;NA;p21;51.116128;3.243749;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;17;75.35;2.510742794561616;821.9206352;14;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p22;NA;p22;51.115985;3.243391;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;18;41.13;2.447483841427619;853.5014467999999;14;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p23;NA;p23;51.115868;3.243062;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;17;58.37;2.8417510552469256;1108.285626;15;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p24;NA;p24;51.115716;3.242704;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;13;96.48;1.0165493006733677;1158.551181;12;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;42.7;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p25;NA;p25;51.115582;3.24236;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;13;44.27;2.2112933653077023;648.844491;9;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.82;34.2;5.6;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p26;NA;p26;51.115439;3.242017;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;11;74.52;2.6660866180332987;675.283187;10;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.48;31.9;5.6;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p27;NA;p27;51.115287;3.241659;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;16;45.87;3.002489868209268;813.508484;13;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.48;31.9;5.6;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p28;NA;p28;51.115179;3.241344;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;18;74.62;1.6818098678899167;936.334162;13;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;838.6;13.9;10.550000000000011;365;1246;2.48;31.9;5.6;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p29;NA;p29;51.112365;3.245458;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;16;44.92;1.379855896116703;1045.1213648;14;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;31.6;5.7;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p3;NA;p3;51.123056;3.223581;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;13;43.14;2.8787198031837637;742.332007;11;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.7;14.1;10.650000000000034;365;1245;2.8;30.9;5.7;13;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p30;NA;p30;51.1125;3.245773;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;16;20.51;2.868453476323235;917.306619;14;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;31.6;5.7;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p31;NA;p31;51.112652;3.246131;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;10;50.14;1.7315596434159382;624.207677;9;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;31.6;5.7;13.1;temperate
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p32;NA;p32;51.11189;3.244784;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;13;71.28;2.1625975917353233;859.1163369999999;10;0.12087912087912088;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.9000000000001;13.9;10.550000000000011;365;1245.2;2.67;31.6;5.7;13.1;temperate
